video_id,label,start,end
6834642519054093574,music,0.0,11.96
6854715107394555141,noEnergy,0.0,0.54
6854715107394555141,female,0.54,5.46
6854715107394555141,noEnergy,5.46,6.0
6854715107394555141,music,6.0,10.66
6854715107394555141,female,10.66,21.44
6854715107394555141,male,21.44,22.12
6854715107394555141,music,22.12,38.08
6854715107394555141,male,38.08,39.0
6854715107394555141,female,39.0,49.6
6891060486939495685,noEnergy,0.0,0.2
6891060486939495685,female,0.2,26.400000000000002
6891060486939495685,noEnergy,26.400000000000002,26.82
6891060486939495685,female,26.82,34.26
6891060486939495685,noEnergy,34.26,34.660000000000004
6891060486939495685,female,34.660000000000004,58.0
6891060486939495685,noEnergy,58.0,58.22
6842171632690220293,male,0.0,1.8800000000000001
6842171632690220293,noEnergy,1.8800000000000001,2.56
6842171632690220293,male,2.56,20.12
6842171632690220293,noise,20.12,22.1
6842171632690220293,male,22.1,29.240000000000002
6842171632690220293,noise,29.240000000000002,30.34
6881379136330419462,music,0.0,15.040000000000001
6886889948847377670,male,0.0,5.94
6886889948847377670,noEnergy,5.94,7.32
6886889948847377670,male,7.32,10.620000000000001
6886889948847377670,noEnergy,10.620000000000001,11.620000000000001
6886889948847377670,male,11.620000000000001,14.120000000000001
6886889948847377670,noise,14.120000000000001,16.36
6886889948847377670,male,16.36,18.94
6886889948847377670,noise,18.94,21.56
6886889948847377670,male,21.56,58.980000000000004
6892458110309403910,female,0.0,7.66
6892458110309403910,noEnergy,7.66,8.36
6892458110309403910,noise,8.36,8.84
6892458110309403910,noEnergy,8.84,9.6
6892458110309403910,female,9.6,14.620000000000001
6892458110309403910,noEnergy,14.620000000000001,15.32
6892458110309403910,female,15.32,16.9
6892458110309403910,noEnergy,16.9,17.32
6892458110309403910,female,17.32,25.66
6892458110309403910,noEnergy,25.66,26.48
6892458110309403910,female,26.48,28.82
6892458110309403910,noEnergy,28.82,29.52
6892458110309403910,female,29.52,33.38
6892458110309403910,noEnergy,33.38,35.12
6892458110309403910,female,35.12,41.54
6892458110309403910,noEnergy,41.54,42.4
6892458110309403910,female,42.4,48.9
6892458110309403910,noEnergy,48.9,49.4
6892458110309403910,female,49.4,54.28
6892458110309403910,noEnergy,54.28,54.92
6892458110309403910,female,54.92,58.980000000000004
6907240224238144774,female,0.0,22.7
6907240224238144774,noEnergy,22.7,23.18
6907240224238144774,female,23.18,43.18
6907240224238144774,noEnergy,43.18,43.660000000000004
6907240224238144774,female,43.660000000000004,49.68
6907240224238144774,noEnergy,49.68,50.32
6907092613799677190,female,0.0,0.92
6907092613799677190,male,0.92,4.26
6907092613799677190,female,4.26,11.620000000000001
6907092613799677190,male,11.620000000000001,22.400000000000002
6907092613799677190,music,22.400000000000002,33.8
6906607234814463238,male,0.0,12.9
6906607234814463238,noEnergy,12.9,13.38
6906607234814463238,male,13.38,25.26
6906607234814463238,noEnergy,25.26,25.7
6906607234814463238,male,25.7,36.84
6906607234814463238,noEnergy,36.84,37.22
6906607234814463238,male,37.22,46.26
6906607234814463238,noEnergy,46.26,46.7
6906607234814463238,male,46.7,53.04
6906607234814463238,noEnergy,53.04,53.52
6906607234814463238,male,53.52,54.92
6906607234814463238,noEnergy,54.92,55.64
6906607234814463238,male,55.64,56.58
6906607234814463238,noEnergy,56.58,57.2
6891817190241078533,female,0.0,36.5
6891817190241078533,noEnergy,36.5,36.92
6891817190241078533,female,36.92,53.4
6813907293189524741,music,0.0,9.46
6873570190714522885,music,0.0,3.22
6873570190714522885,noEnergy,3.22,3.7
6873570190714522885,music,3.7,12.06
6891065285281942790,music,0.0,1.22
6891065285281942790,male,1.22,12.48
6885821918788816133,music,0.0,10.32
6876232866880048390,music,0.0,32.96
6882840474885901574,male,0.0,29.72
6892080950042217733,music,0.0,10.44
6892080950042217733,noise,10.44,14.08
6892080950042217733,music,14.08,33.18
6890943096855596293,music,0.0,6.76
6890943096855596293,noise,6.76,9.74
6891342041259822341,noEnergy,0.0,0.28
6891342041259822341,music,0.28,6.04
6891342041259822341,noEnergy,6.04,6.62
6891342041259822341,music,6.62,11.9
6891342041259822341,noise,11.9,13.08
6891342041259822341,noEnergy,13.08,13.540000000000001
